Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
147A|BEC0AA0|147A|4500061523|01141||D3691601|SL82|1.000|ST||26/07/2023|0030268172|01960|10|YTPL
147A|BEC0AA0|147A|4500061523|01151||D3691200|SL82|1.000|ST||26/07/2023|0030268172|01970|10|YTPL
147A|BEC0AA0|147A|4500061523|01161||D3690201|SL82|1.000|ST||26/07/2023|0030268172|01980|10|YTPL
147A|BEC0AA0|147A|4500061523|01191||D3690401|SL82|1.000|ST||26/07/2023|0030268172|01990|10|YTPL
147A|BEC0AA0|147A|4500061523|01201||D3691101|SL82|1.000|ST||26/07/2023|0030268172|02000|10|YTPL
147A|BEC0AA0|147A|4500061523|01261||D3644502|SL82|1.000|ST||26/07/2023|0030268172|02010|10|YTPL
147A|BEC0AA0|147A|4500061523|01381||D3593000|SL82|1.000|ST||26/07/2023|0030268172|02020|10|YTPL
147A|BEC0AA0|147A|4500061523|01421||D3454303|SL82|1.000|ST||26/07/2023|0030268172|02030|10|YTPL
147A|BEC0AA0|147A|4500061523|01431||D3454702|SL82|1.000|ST||26/07/2023|0030268172|02040|10|YTPL
147A|BEC0AA0|147A|4500061523|01451||D3593100|SL82|1.000|ST||26/07/2023|0030268172|02050|10|YTPL
147A|BEC0AA0|147A|4500061524|00191||D3500602|SL82|1.000|ST||26/07/2023|0030268174|01880|10|YTPL
147A|BEC0AA0|147A|4500061524|00201||D3500702|SL82|1.000|ST||26/07/2023|0030268174|01890|10|YTPL
147A|BEC0AA0|147A|4500061524|00211||D3500802|SL82|1.000|ST||26/07/2023|0030268174|01900|10|YTPL
147A|BEC0AA0|147A|4500061524|00221||D3500902|SL82|1.000|ST||26/07/2023|0030268174|01910|10|YTPL
147A|BEC0AA0|147A|4500061524|00241||D3501202|SL82|1.000|ST||26/07/2023|0030268174|01920|10|YTPL
147A|BEC0AA0|147A|4500061524|00261||D3501302|SL82|1.000|ST||26/07/2023|0030268174|01930|10|YTPL
147A|BEC0AA0|147A|4500061524|00271||D3501502|SL82|1.000|ST||26/07/2023|0030268174|01940|10|YTPL
147A|BEC0AA0|147A|4500061524|00281||D3502102|SL82|1.000|ST||26/07/2023|0030268174|01950|10|YTPL
147A|BEC0AA0|147A|4500061524|00301||D3502501|SL82|1.000|ST||26/07/2023|0030268174|01960|10|YTPL
147A|BEC0AA0|147A|4500061524|00311||D3501002|SL82|1.000|ST||26/07/2023|0030268174|01970|10|YTPL
147A|BEC0AA0|147A|4500061524|00331||D3478101|SL82|1.000|ST||26/07/2023|0030268174|01980|10|YTPL
147A|BEC0AA0|147A|4500061524|00351||D3408401|SL82|1.000|ST||26/07/2023|0030268174|01990|10|YTPL
147A|BEC0AA0|147A|4500061524|00371||D3408601|SL82|1.000|ST||26/07/2023|0030268174|02000|10|YTPL
147A|BEC0AA0|147A|4500061524|00461||D3409401|SL82|1.000|ST||26/07/2023|0030268174|02010|10|YTPL
147A|BEC0AA0|147A|4500061524|00471||D3479101|SL82|1.000|ST||26/07/2023|0030268174|02020|10|YTPL
